period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2,inv_η_toH2,inv_η_fromH2
1,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.923076923076923
3,0,190.0,0.0,90.0,993.25,0.0,1000.0,0.0,0.4,0.0,2.5
4,20,190.0,0.0,90.0,986.5,0.0,0.0,0.0,0.4,0.0,2.5
5,30,110.0,0.0,80.0,980.918604719927,0.0,0.0,0.0,0.43,0.0,2.3255813953488373
6,40,110.0,0.0,70.0,976.2519375865936,4.666666955088772e-7,0.0,0.0,0.45,0.0,2.2222222222222223
7,40,150.0,0.0,100.0,966.2519365865935,0.0,0.0,0.82,0.3,1.2195121951219512,3.3333333333333335
8,50,150.0,0.0,100.0,81.37509481591078,874.8768407706826,0.0,0.82,0.3,1.2195121951219512,3.3333333333333335
9,70,150.0,0.0,80.0,75.79369890893398,0.0,0.0,0.0,0.43,0.0,2.325581395348838
10,80,150.0,0.0,70.0,71.1270317756006,4.666667097197319e-7,0.0,0.0,0.45,0.0,2.2222222222222223
11,90,150.0,0.0,60.0,67.37703140060056,3.7500004168578016e-7,0.0,0.0,0.48,0.0,2.0833333333333335
12,80,150.0,0.0,70.0,62.71036428326004,4.5067384935038035e-7,0.0,0.0,0.45,0.0,2.2222222222222223
13,100,150.0,0.0,50.000003053547275,59.71036390872408,3.7453596490877317e-7,0.0,0.0,0.5,0.0,2.0
14,70,150.0,0.0,80.0,54.12896800174728,0.0,0.0,0.0,0.43,0.0,2.325581395348837
15,70,150.0,0.0,80.0,48.54757209477048,0.0,0.0,0.0,0.43,0.0,2.3255813953488373
16,60,150.0,0.0,90.0,41.79757141977041,6.750000736133188e-7,0.0,0.0,0.4,0.0,2.5
17,50,150.0,0.0,90.0,35.0475717332223,0.0,0.0,0.0,0.4,0.0,2.5
18,30,150.0,0.0,90.0,28.2975717332223,0.0,0.0,0.0,0.4,0.0,2.5
19,30,110.0,0.0,80.0,22.71617475021819,1.0760273099208462e-6,0.0,0.0,0.43,0.0,2.325581395348837
20,10,100.0,0.0,90.0,15.96617475021819,0.0,0.0,0.0,0.4,0.0,2.5
21,10,100.0,0.0,90.0,9.216174075218122,6.750000682842483e-7,0.0,0.0,0.4,0.0,2.5
22,0,100.0,0.0,90.0,2.4661740752181216,0.0,0.0,0.0,0.4,0.0,2.5
23,0,20.0,0.0,27.2655127337185,1.0,0.0,0.0,0.0,0.5582034617988445,0.0,1.792465636994218
24,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
