period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2,inv_η_toH2,inv_η_fromH2
1,0,190.0,0.0,4.838926701210944,115.22469589397126,0.0,115.45884748733302,0.5,0.14516780103632831,2.0,1.6129755670703148
2,0,190.0,0.0,4.83892670121085,114.99054430060951,0.0,0.0,0.65,0.1451678010363255,1.5384615384615383,1.6129755670702837
3,0,190.0,0.0,0.0,114.99054430060951,0.0,0.0,0.42,0.15,2.380952380952381,6.666666666666667
4,20,190.0,0.0,4.83892670121085,114.75639270724777,0.0,0.0,0.58,0.1451678010363255,1.7241379310344829,1.6129755670702837
5,30,150.0,0.0,37.45921415522947,109.80406076278551,0.0,0.0,0.0,0.2276223575343116,0.0,4.40686622664888
6,40,150.0,0.0,37.45921415522947,104.85172881832327,0.0,0.0,0.0,0.2276223575343116,0.0,4.40686622664888
7,40,110.0,0.0,60.0,94.85172781832316,0.0,0.0,0.0,0.18,0.0,5.555555555555555
8,50,110.0,0.0,60.0,84.85172681832307,0.0,0.0,0.0,0.18,0.0,5.555555555555555
9,70,150.0,0.0,80.0,66.39018651063058,0.0,0.0,0.0,0.13,0.0,7.692307692307692
10,80,150.0,0.0,70.0,52.39018511063044,0.0,0.0,0.0,0.15,0.0,6.666666666666667
11,90,150.0,0.0,4.838926701210944,52.15603351726868,0.0,0.0,0.0,0.14516780103632831,0.0,1.6129755670703148
12,80,150.0,0.0,63.054593684047525,41.004913420170176,0.0,0.0,0.0,0.17083621894785736,0.0,5.8949548537830605
13,100,150.0,0.0,50.0,33.504912670170114,0.0,0.0,0.0,0.2,0.0,5.0
14,70,150.0,0.0,60.0,23.504911670170017,0.0,0.0,0.0,0.18,0.0,5.555555555555555
15,70,150.0,0.0,4.83892670121085,23.27076007680827,0.0,0.0,0.0,0.1451678010363255,0.0,1.6129755670702837
16,60,150.0,0.0,4.83892670121085,23.03660848344652,0.0,0.0,0.0,0.1451678010363255,0.0,1.6129755670702837
17,50,150.0,0.0,4.83892670121085,22.802456890084773,0.0,0.0,0.0,0.1451678010363255,0.0,1.6129755670702837
18,30,150.0,0.0,4.83892670121085,22.568305296723025,0.0,0.0,0.0,0.1451678010363255,0.0,1.6129755670702837
19,30,60.0,0.0,30.0,18.968304936722987,0.0,0.0,0.0,0.25,0.0,4.0
20,10,150.0,0.0,60.0,8.968303936722888,0.0,0.0,0.0,0.18,0.0,5.555555555555555
21,10,60.0,0.0,50.0,1.4683031867228107,0.0,0.0,0.0,0.2,0.0,5.0
22,0,150.0,0.0,4.83892670121085,1.2341515933610643,0.0,0.0,0.0,0.1451678010363255,0.0,1.6129755670702837
23,0,30.0,0.0,4.83892670121085,1.0,0.0,0.0,0.0,0.1451678010363255,0.0,1.6129755670702837
24,0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
