period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2,inv_η_toH2,inv_η_fromH2
1,0,190.0,0.0,0.0,0.0,0.0,0.0,0.7199999999999995,0.6,1.3888888888888888,1.6666666666666667
2,0,190.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.25,0.0
3,0,190.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,1.25,2.5
4,20,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.6666666666666667
5,30,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,2.325581395348835
6,40,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,2.325581395348835
7,40,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,2.325581395348835
8,50,150.0,0.0,0.0,0.0,0.0,0.0,0.7,0.43,1.4285714285714286,2.325581395348835
9,70,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,80,60.0,0.0,0.0,0.0,0.0,0.0,0.95,0.5,1.0526315789473677,2.0
11,90,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,80,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.923076923076921
13,100,150.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.4285714285714286,0.0
14,70,150.0,0.0,0.0,0.0,0.0,0.0,0.7199999999999995,0.43,1.3888888888888888,2.325581395348835
15,70,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,2.325581395348835
16,60,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,2.325581395348835
17,50,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,2.325581395348835
18,30,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,2.325581395348835
19,30,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0
20,10,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.6666666666666667
21,10,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0
22,0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,2.325581395348835
23,0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,2.325581395348835
24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
