period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2,inv_η_toH2,inv_η_fromH2
1,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.923076923076923
2,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.923076923076923
3,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2.0833333333333335
4,20,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2.0833333333333335
5,30,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2.0833333333333335
6,40,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2.0833333333333335
7,40,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.923076923076923
8,50,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.923076923076923
9,70,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2.0833333333333335
10,80,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.923076923076923
11,90,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.923076923076923
12,80,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2.0833333333333335
13,100,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2.0833333333333335
14,70,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2.0833333333333335
15,70,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.923076923076923
16,60,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2.0833333333333335
17,50,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2.0833333333333335
18,30,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2.0833333333333335
19,30,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2.0833333333333335
20,10,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.923076923076923
21,10,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.923076923076923
22,0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2.0833333333333335
23,0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.923076923076923
24,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
