period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2,inv_η_toH2,inv_η_fromH2
1,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.6666666666666667
5,30,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,40,150.0,0.0,100.0,89.99999899999966,0.0,100.0,0.0,0.3,0.0,3.3333333333333335
7,40,110.0,0.0,70.0,25.41060353466395,59.922728332002336,0.0,0.0,0.45,0.0,2.2222222222222223
8,50,110.0,0.0,60.0,21.6606031596639,0.0,0.0,0.9,0.48,1.1111111111111112,2.0833333333333335
9,70,150.0,0.0,80.0,16.079207252687098,0.0,0.0,0.0,0.43,0.0,2.3255813953488373
10,80,150.0,0.0,70.0,11.412540119353718,0.0,0.0,0.0,0.45,0.0,2.2222222222222223
11,90,150.0,0.0,3.536002174661528,11.35002388964724,0.0,0.0,0.0,0.2121601304796917,0.0,0.5893336957769214
12,80,150.0,0.0,70.0,6.683356756313856,0.0,0.0,0.0,0.45,0.0,2.2222222222222223
13,100,150.0,0.0,50.0,3.6833564563138257,0.0,0.0,0.0,0.5,0.0,2.0
14,70,150.0,0.0,44.945331412948946,1.0390640171419625,0.0,0.0,0.9,0.5101093371741021,1.1111111111111112,1.961117933945761
15,70,150.0,0.0,2.072603278554314,1.0175865872000776,0.0,0.0,0.0,0.12435619671325883,0.0,0.3454338797590523
16,60,150.0,0.0,1.8754779857836699,1.0,0.0,0.0,0.9,0.1125286791470202,1.1111111111111112,0.31257966429727835
17,50,150.0,30.714763454558156,0.0,1.8088940145471222,0.0,0.0,0.8778557096363255,0.0,1.139230334710795,0.0
18,30,150.0,40.0,0.0,2.828894116547133,0.0,0.0,0.85,0.6,1.1764705882352942,1.6666666666666667
19,30,60.0,0.0,30.0,1.1925303165471168,0.0,0.0,0.0,0.55,0.0,1.8181818181818181
20,10,60.0,0.0,4.543291702951802,1.089323081861003,0.0,0.0,0.0,0.2725975021771081,0.0,0.7572152838253003
21,10,150.0,0.0,4.226662654616875,1.0,0.0,0.0,0.0,0.25359975927701245,0.0,0.7044437757694791
22,0,150.0,0.0,0.0,0.0,1.0,0.0,0.95,0.58,1.0526315789473684,1.7241379310344829
23,0,30.0,0.0,0.0,0.0,0.0,0.0,0.9,0.58,1.1111111111111112,1.7241379310344829
24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.6666666666666667
