period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2,inv_η_toH2,inv_η_fromH2
1,0,280.0,0.0,80.0,111.6779019847345,0.0,117.25929789171119,0.0,0.43,0.0,2.3255813953488373
2,0,280.0,0.0,80.0,106.09650579532524,0.0,0.0,0.0,0.43,0.0,2.3255813953489066
3,0,150.0,0.0,80.0,100.51510988834968,2.8243353256129927e-7,0.0,0.0,0.43,0.0,2.3255813953489066
4,20,150.0,0.0,80.0,94.93371488939101,2.8243378835668414e-7,0.0,0.0,0.43,0.0,2.3255813953489106
5,30,110.0,0.0,80.0,89.3523192648496,2.82434143628052e-7,0.0,0.0,0.43,0.0,2.3255813953488373
6,40,110.0,0.0,70.0,84.68565213151795,0.0,0.0,0.0,0.45,0.0,2.2222222222222223
7,40,110.0,0.0,70.0,80.01898471575146,2.8243519523130095e-7,0.0,0.0,0.45,0.0,2.2222222222222223
8,50,110.0,0.0,60.00000697865892,76.26898434075292,2.82435891563182e-7,0.0,0.0,0.4799999790640462,0.0,2.0833330910188006
9,70,150.0,0.0,80.0,70.68758843377736,2.8243670158190076e-7,0.0,0.0,0.43,0.0,2.3255813953489195
10,80,150.0,0.0,70.0,66.02092130044548,2.8243762528745725e-7,0.0,0.0,0.45,0.0,2.2222222222222223
11,90,150.0,0.0,60.000004137507695,62.27092093444651,2.8243866267985146e-7,0.0,0.0,0.47999998758747703,0.0,2.0833333333333335
12,80,150.0,0.0,70.00000013510756,57.60425378917489,2.824398137590834e-7,0.0,0.0,0.45,0.0,2.2222222222222223
13,100,150.0,0.0,50.0,54.60425348917613,2.8244107852515304e-7,0.0,0.0,0.5,0.0,2.0
14,70,150.0,0.0,80.0,49.0228575822008,2.824424569780604e-7,0.0,0.0,0.43,0.0,2.325581395348837
15,70,150.0,0.0,79.99998754213519,43.44146286885939,2.824438354309678e-7,0.0,0.0,0.42999999324910027,0.0,2.3255812601486445
16,60,150.0,0.0,80.0,37.86006696188406,2.8244532046528553e-7,0.0,0.0,0.43,0.0,2.3255813953488373
17,50,150.0,0.0,80.0,32.27867105490793,0.0,0.0,0.0,0.43,0.0,2.325581395348837
18,30,150.0,0.0,80.0,26.69727560037768,0.0,0.0,0.0,0.4299998642191076,0.0,2.325581206829723
19,30,110.0,0.0,80.00000061734745,21.115879667559852,2.824504576892651e-7,0.0,0.0,0.43,0.0,2.3255813881703777
20,10,100.0,0.0,90.0,14.365878992561193,2.8245193917086913e-7,0.0,0.0,0.4,0.0,2.5
21,10,100.0,0.0,90.0,7.615878317562419,2.8245217009725826e-7,0.0,0.0,0.4,0.0,2.5
22,0,100.0,0.0,80.0,2.0344824105863495,2.824521718736151e-7,0.0,0.0,0.43,0.0,2.325581395348907
23,0,20.0,0.0,20.0,1.0000002824520586,0.0,0.0,0.0,0.58,0.0,1.7241379310344829
24,0,0.0,0.0,0.0,0.0,1.0000002824520586,0.0,0.0,0.5264362457683252,0.0,1.9005725672437042
