period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,a_toH2,a_fromH2,inv_aToH2,inv_afromH2
1,0,190.0,0.0,0.0,100.0,0.0,100.0,0.3,0.1,3.3333333333333335,10.0
2,0,190.0,0.0,0.0,100.0,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
3,0,190.0,0.0,0.0,31.0,69.0,0.0,0.3,0.1,3.3333333333333335,10.0
4,20,189.99999043497388,1.590337639356676e-6,0.0,31.000000159033764,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
5,30,150.0,0.0,100.000004769763,27.666666666666668,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
6,40,150.0,0.0,100.0,24.333333333333332,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
7,40,60.0,0.0,20.0,23.666666666666668,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
8,50,150.0,0.0,100.0,20.333333333333332,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
9,70,150.0,0.0,80.0,17.666666666666668,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
10,80,150.0,0.0,70.0,15.333333333333334,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
11,90,150.0,0.0,0.0,15.333333333333334,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
12,80,150.0,0.0,70.0,13.0,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
13,100,150.0,0.0,50.0,11.333333333333334,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
14,70,150.0,0.0,80.0,8.666666666666666,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
15,70,150.0,0.0,0.0,8.666666666666666,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
16,60,150.0,0.0,0.0,8.666666666666666,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
17,50,150.0,0.0,0.0,8.666666666666666,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
18,30,150.0,0.0,0.0,8.666666666666666,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
19,30,110.0,0.0,80.0,6.0,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
20,10,100.0,0.0,90.0,3.0,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
21,10,100.0,0.0,90.0,0.0,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
22,0,100.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
23,0,20.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,3.3333333333333335,10.0
