period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2,inv_η_toH2,inv_η_fromH2
1,0,280.0,7.339812791769334e-5,79.99994128149761,83.99995791840664,0.0,99.99992660187205,0.8,0.6,1.25,1.6666666666666667
2,0,280.0,0.0,80.0,67.99995791840664,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
3,0,150.0,49.99998165046802,4.770878318538507e-5,81.33327681677481,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
4,20,150.0,70.0,0.0,99.99994348344148,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
5,30,60.0,0.0,30.00005137868957,93.99993320770358,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
6,40,150.0,0.0,100.0,73.99993320770358,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
7,40,60.0,0.0,20.0,69.99993320770358,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
8,50,150.0,0.0,100.0,49.99993320770358,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
9,70,150.0,0.0,80.0,33.99993320770358,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
10,80,150.0,0.0,70.0,19.999933207703574,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
11,90,150.0,100.0,0.0,46.66659987437024,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
12,80,150.0,0.0,70.0,32.66659987437024,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
13,100,150.0,0.0,50.0,22.66659987437024,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
14,70,150.0,0.0,80.0,6.666599874370242,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
15,70,150.0,100.0,0.0,33.333266541036906,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
16,60,150.0,100.0,0.0,59.99993320770358,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
17,50,150.0,100.0,0.0,86.66659987437023,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
18,30,150.0,80.0,0.0,107.99993320770362,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
19,30,110.0,0.0,80.0,91.99993320770362,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
20,10,100.0,0.0,90.0,73.99993320770362,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
21,10,100.0,0.0,90.0,55.99993320770362,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
22,0,100.0,100.0,0.0,0.0,82.66659987437029,0.0,0.8,0.6,1.25,1.6666666666666667
23,0,20.0,100.0,0.0,26.666666666666668,0.0,0.0,0.8,0.6,1.25,1.6666666666666667
24,0,0.0,100.0,0.0,0.0,53.333333333333336,0.0,0.8,0.6,1.25,1.6666666666666667
