period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,a_toH2,a_fromH2,inv_aToH2,inv_afromH2
1,0,90.0,100.0,0.0,152.6666659617322,0.0,120.99999929506112,0.95,0.8,1.0526315789473684,1.25
2,0,90.0,100.0,0.0,184.3333326652373,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
3,0,240.0,0.0,40.0,173.6666659985715,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
4,20,240.0,0.0,20.0,168.33333266523903,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
5,30,150.0,0.0,100.0,141.66666666666666,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
6,40,150.0,0.0,100.0,115.0,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
7,40,150.0,0.0,100.0,88.33333333333333,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
8,50,150.0,0.0,100.0,61.666666666666664,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
9,70,150.0,0.0,80.0,40.333333333333336,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
10,80,150.0,0.0,70.0,21.666666666666668,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
11,90,150.0,100.0,0.0,53.333333333333336,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
12,80,150.0,0.0,70.0,34.666666666666664,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
13,100,150.0,0.0,50.0,21.333333333333332,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
14,70,150.0,0.0,80.0,0.0,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
15,70,150.0,100.0,0.0,31.666666666666668,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
16,60,150.0,100.0,0.0,63.333333333333336,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
17,50,150.0,100.0,0.0,95.0,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
18,30,150.0,80.0,0.0,120.33333333333333,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
19,30,110.0,0.0,80.0,99.0,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
20,10,100.0,0.0,90.0,75.0,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
21,10,100.0,0.0,90.0,51.0,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
22,0,100.0,100.0,0.0,0.0,82.66666666666667,0.0,0.95,0.8,1.0526315789473684,1.25
23,0,20.0,100.0,0.0,31.666666666666668,0.0,0.0,0.95,0.8,1.0526315789473684,1.25
24,0,0.0,100.0,0.0,0.0,63.333333333333336,0.0,0.95,0.8,1.0526315789473684,1.25
