period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,90.0,58.63281249997554,0.0,115.68886091993028,0.0,100.0000018704567,0.8027344270486831,0.6
2,0,280.0,0.0,100.0,105.6888609199303,0.0,0.0,0.95,0.3
3,0,240.0,0.0,100.0,95.68886091993058,0.0,0.0,0.95,0.3
4,20,150.0,58.63280876586792,0.0,111.37771809894684,0.0,0.0,0.8027343824682638,0.6
5,30,150.0,0.0,100.0,101.37771809894855,0.0,0.0,0.95,0.3
6,40,150.0,0.0,100.0,91.37771809894693,0.0,0.0,0.95,0.3
7,40,60.0,0.0,20.0,87.51105143228413,0.0,0.0,0.95,0.58
8,50,150.0,0.0,100.0,77.51105143228413,0.0,0.0,0.95,0.3
9,70,150.0,0.0,100.0,67.51105143228413,0.0,0.0,0.95,0.3
10,80,150.0,0.0,70.0,50.87771996940226,6.133331462881882,0.0,0.95,0.45
11,90,150.0,58.63280876586792,0.0,66.5665771484205,0.0,0.0,0.8027343824682638,0.6
12,80,150.0,0.0,70.0,56.06657714842104,0.0,0.0,0.95,0.45
13,100,150.0,0.0,50.0,47.733243815087164,0.0,0.0,0.95,0.5
14,70,150.0,0.0,100.0,37.73324381508717,0.0,0.0,0.7,0.3
15,70,150.0,58.63280876586792,0.0,19.62228377150835,33.7998190930524,0.0,0.802734478171882,0.3
16,60,150.0,58.63280876586653,0.0,35.311140950524305,0.0,0.0,0.802734382468267,0.6
17,50,150.0,58.63280876586792,0.0,51.0,0.0,0.0,0.8027344270486831,0.6
18,30,150.0,0.0,100.0,41.0,0.0,0.0,0.95,0.3
19,30,110.0,0.0,100.0,31.0,0.0,0.0,0.95,0.3
20,10,100.0,0.0,100.0,21.0,0.0,0.0,0.95,0.3
21,10,100.0,0.0,100.0,11.0,0.0,0.0,0.95,0.3
22,0,100.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
23,0,20.0,58.632812500000014,0.0,0.0,16.688858032226065,0.0,0.802734375,0.6
24,0,0.0,58.63095238095238,0.0,0.0,15.688433015251082,0.0,0.8027380952104588,0.0
