period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,0.0,43.18982784894013,0.0,12.099351267716862,0.0,0.0,0.8404306201475478,0.0
2,0,190.0,0.0,100.0,2.0993512677172017,0.0,0.0,0.9,0.3
3,0,280.0,0.0,100.0,992.0993512677172,0.0,1000.0,0.95,0.3
4,20,190.0,0.0,100.0,982.0993512677172,0.0,0.0,0.95,0.3
5,30,150.0,0.0,100.0,972.0993512677172,0.0,0.0,0.0,0.3
6,40,150.0,0.0,100.0,962.0993512677173,0.0,0.0,0.0,0.3
7,40,150.0,0.0,100.0,952.0993512677173,0.0,0.0,0.95,0.3
8,50,150.0,0.0,100.0,117.72394855156925,824.3754027161482,0.0,0.0,0.3
9,70,150.0,0.0,100.0,107.72394855156925,0.0,0.0,0.95,0.3
10,80,150.0,0.0,70.0,97.22394855158012,0.0,0.0,0.9,0.45
11,90,150.0,43.23216055048081,0.0,109.33333333333333,0.0,0.0,0.840303928434028,0.6
12,80,150.0,0.0,100.0,99.33333333333333,0.0,0.0,0.0,0.3
13,100,150.0,0.0,50.0,91.0,0.0,0.0,0.95,0.5
14,70,150.0,0.0,100.0,81.0,0.0,0.0,0.9,0.3
15,70,150.0,0.0,100.0,71.0,0.0,0.0,0.95,0.3
16,60,150.0,0.0,100.0,61.0,0.0,0.0,0.95,0.3
17,50,150.0,0.0,100.0,51.0,0.0,0.0,0.0,0.3
18,30,150.0,0.0,100.0,41.0,0.0,0.0,0.95,0.3
19,30,110.0,0.0,100.0,31.0,0.0,0.0,0.9,0.3
20,10,100.0,0.0,100.0,21.0,0.0,0.0,0.95,0.3
21,10,100.0,0.0,100.0,11.0,0.0,0.0,0.95,0.3
22,0,100.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
23,0,20.0,0.0,0.0,0.0,1.0,0.0,0.88,0.52
24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
