period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,90.0,43.189827848895206,0.0,12.099349774283427,0.0,0.0,0.8404305164133402,0.0
2,0,280.0,0.0,100.0,2.099349774286498,0.0,0.0,0.0,0.3
3,0,240.0,0.0,100.0,992.0993497742896,0.0,1000.0,0.0,0.3
4,20,150.0,0.0,100.0,982.0993497748939,0.0,0.0,0.0,0.3
5,30,150.0,0.0,100.0,972.0993497748946,0.0,0.0,0.95,0.3
6,40,150.0,0.0,100.0,962.0993512677126,0.0,0.0,0.0,0.2999999552155078
7,40,150.0,0.0,100.0,952.0993512677123,0.0,0.0,0.95,0.3
8,50,150.0,0.0,100.0,103.59465021621634,838.504701051496,0.0,0.7199999999999998,0.3
9,70,150.0,0.0,100.0,93.59465021621452,0.0,0.0,0.0,0.3
10,80,150.0,0.0,70.0,83.09465021621594,0.0,0.0,0.0,0.45
11,90,150.0,43.18982649820816,0.0,95.19399967102653,0.0,0.0,0.8404305205054452,0.0
12,80,60.0,20.0,0.0,101.19399967102649,0.0,0.0,0.9,0.6
13,100,150.0,0.0,50.0,92.86066815057896,0.0,0.0,0.8,0.49999989122685706
14,70,150.0,0.0,99.99999654535529,82.86067290376245,0.0,0.0,0.7,0.2999998677684654
15,70,150.0,0.0,100.0,72.86067290376246,0.0,0.0,0.0,0.3
16,60,150.0,0.0,100.0,62.86067290376249,0.0,0.0,0.95,0.3
17,50,150.0,0.0,100.0,52.8606729037593,0.0,0.0,0.0,0.3
18,30,150.0,0.0,100.0,42.8606729037593,0.0,0.0,0.0,0.3
19,30,110.0,0.0,100.0,31.394001483910415,1.4666714198488862,0.0,0.0,0.3
20,10,100.0,0.0,100.0,21.394001483913144,0.0,0.0,0.95,0.3
21,10,100.0,0.0,100.0,11.394001483915872,0.0,0.0,0.0,0.3
22,0,100.0,0.0,100.0,1.3940014839172328,0.0,0.0,0.9,0.3
23,0,20.0,0.0,4.438476562500057,1.0,0.0,0.0,0.95,0.2663085937500033
24,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
