period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,0.0,60.0,96.4,0.0,100.0,0.48,0.18000000000000005
2,0,280.0,0.0,80.0,92.93333333333334,0.0,0.0,0.55,0.13
3,0,190.0,0.0,60.0,89.33333333333333,0.0,0.0,0.4,0.18
4,20,150.0,0.0,60.0,85.73333333333333,0.0,0.0,0.42,0.18
5,30,150.0,0.0,80.0,82.26666666666667,0.0,0.0,0.58,0.12999999999999998
6,40,110.0,0.0,70.0,78.76666666666667,0.0,0.0,0.65,0.15
7,40,110.0,0.0,70.0,75.26666666666667,0.0,0.0,0.45,0.15
8,50,110.0,0.0,60.0,71.66666666666667,0.0,0.0,0.52,0.18
9,70,150.0,0.0,80.0,68.2,0.0,0.0,0.65,0.13
10,80,150.0,0.0,70.0,64.7,0.0,0.0,0.65,0.15
11,90,150.0,0.0,60.0,61.1,0.0,0.0,0.45,0.18
12,80,150.0,0.0,70.0,57.6,0.0,0.0,0.65,0.15
13,100,150.0,0.0,50.0,54.266666666666666,0.0,0.0,0.65,0.2
14,70,150.0,0.0,80.0,50.8,0.0,0.0,0.55,0.13
15,70,150.0,0.0,60.0,47.2,0.0,0.0,0.65,0.18
16,60,150.0,0.0,60.0,43.6,0.0,0.0,0.65,0.18
17,50,150.0,0.0,60.0,40.0,0.0,0.0,0.0,0.18
18,30,150.0,0.0,60.0,36.4,0.0,0.0,0.65,0.18
19,30,110.0,0.0,80.0,32.93333333333333,0.0,0.0,0.0,0.13
20,10,100.0,0.0,90.0,29.933333333333334,0.0,0.0,0.65,0.1
21,10,100.0,0.0,90.0,26.933333333333334,0.0,0.0,0.65,0.1
22,0,100.0,0.0,60.0,23.333333333333332,0.0,0.0,0.65,0.18000000000000838
23,0,20.0,0.0,20.0,1.0,20.466666666666665,0.0,0.65,0.28
24,0,0.0,0.0,0.0,-0.0,1.0,0.0,0.65,0.0
