period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,0.0,60.0,96.4,0.0,100.0,0.0,0.18000000000000596
2,0,190.0,0.0,60.0,72.43332931176553,20.366670688228965,0.0,0.6,0.18000000000000507
3,0,190.0,0.0,60.0,68.83332925643698,5.532832858534675e-8,0.0,0.65,0.18000000000000552
4,20,190.0,0.0,60.0,65.23332925644274,5.5333543969027246e-8,0.0,0.65,0.18000000000000307
5,30,150.0,0.0,80.0,61.76666258977873,5.53334515984716e-8,0.0,0.65,0.13
6,40,150.0,0.0,80.0,58.29999597844443,5.533342140040533e-8,0.0,0.65,0.13000000000000578
7,40,110.0,0.0,70.0,54.799995923120264,5.532785962714115e-8,0.0,0.65,0.15
8,50,110.0,0.0,60.0,51.199995978443326,0.0,0.0,0.65,0.17999999723416912
9,70,150.0,0.0,80.0,47.73332925645343,5.5323226888503996e-8,0.0,0.65,0.12999999451649763
10,80,150.0,0.0,70.0,44.23332925645343,0.0,0.0,0.65,0.15
11,90,150.0,0.0,60.0,40.63333322269648,0.0,0.0,0.0,0.17999980168762084
12,80,150.0,0.0,70.0,37.13333322269898,0.0,0.0,0.0,0.15
13,100,150.0,0.0,50.0,33.79999988936742,0.0,0.0,0.65,0.2
14,70,150.0,0.0,80.0,30.3333332780187,0.0,0.0,0.65,0.12999999999999703
15,70,150.0,0.0,60.0,26.733333278020154,0.0,0.0,0.6,0.18000000000000507
16,60,150.0,0.0,60.0,23.133333278022178,0.0,0.0,0.65,0.18
17,50,150.0,0.0,60.0,19.53333327801886,0.0,0.0,0.0,0.18000000000001165
18,30,150.0,0.0,60.0,15.933333278020996,0.0,0.0,0.65,0.17999999999999364
19,30,110.0,0.0,80.0,12.466666611356345,0.0,0.0,0.65,0.13
20,10,100.0,0.0,90.0,9.466666611358391,0.0,0.0,0.65,0.1
21,10,100.0,0.0,90.0,6.466666379889489,0.0,0.0,0.6,0.1
22,0,100.0,0.0,60.0,2.8666666666666667,0.0,0.0,0.65,0.18000000000000513
23,0,20.0,0.0,20.0,1.0,0.0,0.0,0.0,0.28000000000000597
24,0,0.0,0.0,0.0,0.0,1.0,0.0,0.65,0.0
