period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2,inv_η_toH2,inv_η_fromH2
1,0,90.0,0.0,90.0,96.14285675714231,0.0,100.0,0.0,0.7,0.0,1.4285714285714286
2,0,90.0,0.0,90.0,92.2857131285702,3.857204688983985e-7,0.0,0.0,0.7,0.0,1.4285714285714286
3,0,240.0,0.0,99.01888931558202,87.4041599533236,3.857204546875438e-7,0.0,0.0,0.6098111067984346,0.0,1.6433068884895692
4,20,240.0,0.0,99.02482267203351,82.52189459005473,0.0,0.0,0.0,0.6097517732796657,0.0,1.6434481588579397
5,30,150.0,0.0,100.0,77.52189409005021,3.8572052574181736e-7,0.0,1.0,0.6,1.0,1.6666666666666667
6,40,150.0,0.0,100.0,72.5218935900507,3.8572051153096265e-7,0.0,1.0,0.6,1.0,1.6666666666666667
7,40,150.0,0.0,100.0,67.52189309005135,3.8572049732010793e-7,0.0,1.0,0.6,1.0,1.6666666666666667
8,50,150.0,0.0,100.0,62.521892590051955,3.8572047600382586e-7,0.0,1.0,0.6,1.0,1.6666666666666667
9,70,150.0,0.0,90.0,58.66474934719546,3.8572046179297114e-7,0.0,0.0,0.7,0.0,1.4285714285714286
10,80,150.0,0.0,90.0,54.80760610433902,3.8572044758211643e-7,0.0,0.0,0.7,0.0,1.4285714285714286
11,90,150.0,0.0,90.0,50.950463247197014,3.857204333712617e-7,0.0,0.0,0.7,0.0,1.4285714285714286
12,80,150.0,0.0,90.0,47.09332012810438,3.85720419160407e-7,0.0,0.95,0.7,1.0526315789473684,1.4285714285714286
13,100,150.0,0.0,90.0,43.23617714891198,3.8572041205497964e-7,0.0,0.0,0.7,0.0,1.4285714285714286
14,70,150.0,0.0,90.0,39.37903390605575,0.0,0.0,0.0,0.7,0.0,1.4285714285714286
15,70,150.0,0.0,90.0,35.52189105119678,0.0,0.0,1.0,0.7,1.0,1.4285714285714286
16,60,150.0,0.0,90.0,31.07029957372157,0.5944482346180293,0.0,0.0,0.7,0.0,1.4285714285714286
17,50,150.0,0.0,98.99706140251112,26.191366163321334,0.0,0.0,0.0,0.6100293859748891,0.0,1.6427871202728699
18,30,150.0,0.0,99.01694999745962,21.31004631269826,0.0,0.0,0.0,0.6098305000254055,0.0,1.6432607142252287
19,30,110.0,0.0,90.0,17.452903189895437,0.0,0.0,0.95,0.7,1.0526315789473684,1.4285714285714286
20,10,100.0,0.0,90.0,13.59575994703863,0.0,0.0,0.0,0.7,0.0,1.4285714285714286
21,10,100.0,0.0,90.0,9.738616704181737,0.0,0.0,0.0,0.7,0.0,1.4285714285714286
22,0,100.0,0.0,99.01829401115432,4.857134981359053,0.0,0.0,0.0,0.6098170598884571,0.0,1.643292714551294
23,0,20.0,0.0,89.99989968578545,1.0,0.0,0.0,0.0,0.700000300942644,0.0,1.4285699610452323
24,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
