period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,0.0,58.65678350581922,0.0,115.69433477428322,0.0,100.0,0.8026864329883263,0.0
2,0,190.0,0.0,100.0,105.69433477428322,0.0,0.0,0.0,0.3
3,0,280.0,0.0,100.0,95.69433477428325,0.0,0.0,0.0,0.3
4,20,190.0,0.0,100.0,85.69433477428325,0.0,0.0,0.9,0.3
5,30,150.0,0.0,100.0,75.69250010664398,0.0018346676393095039,0.0,0.0,0.3
6,40,150.0,0.0,100.0,65.69250010664345,0.0,0.0,0.0,0.3
7,40,150.0,0.0,100.0,55.69250010664344,0.0,0.0,0.0,0.3
8,50,150.0,0.0,100.0,45.69250010664348,0.0,0.0,0.0,0.3
9,70,150.0,0.0,100.0,35.69250010664348,0.0,0.0,0.0,0.3
10,80,150.0,0.0,100.0,25.692500106642964,0.0,0.0,0.0,0.3
11,90,150.0,58.63691087266204,0.0,41.38229459179536,0.0,0.0,0.802726178254676,0.0
12,80,150.0,0.0,70.0,30.88229459179445,0.0,0.0,0.0,0.45
13,100,150.0,0.0,50.0,22.54896125846112,0.0,0.0,0.0,0.5
14,70,150.0,0.0,100.0,12.548961258471126,0.0,0.0,0.0,0.3
15,70,150.0,58.62860412294753,0.0,28.23685770857861,8.137621065884561e-7,0.0,0.802742791754105,0.6
16,60,150.0,58.62729633988182,0.0,43.92445571579361,8.137620994830288e-7,0.0,0.8027454267856562,0.0
17,50,150.0,59.05232906079687,0.0,59.70905238834935,0.0,0.0,0.801895341462656,0.6
18,30,150.0,58.639097771267004,0.0,75.39934651325242,0.0,0.0,0.802721804457466,0.0
19,30,110.0,0.0,100.0,31.0,34.39934651326436,0.0,0.9,0.3
20,10,100.0,0.0,100.0,21.0,0.0,0.0,0.95,0.3
21,10,100.0,0.0,100.0,11.0,0.0,0.0,0.95,0.3
22,0,100.0,0.0,100.0,1.0,0.0,0.0,0.75,0.3
23,0,20.0,58.63951153095603,0.0,0.0,16.69038866108853,0.0,0.802720976938088,0.6
24,0,0.0,58.6386513313405,0.0,0.0,15.690192696082113,0.0,0.802722697337319,0.0
