period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2,inv_η_toH2,inv_η_fromH2
1,0,0.0,10.0,0.0,1.0,1.1666666666666667,0.0,0.65,0.0,1.5384615384615383,0.0
2,0,190.0,0.0,100.0,1.0,0.0,0.0,0.58,0.0,1.7241379310344829,0.0
3,0,280.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20,190.0,0.0,100.0,1.0,0.0,0.0,0.58,0.0,1.7241379310344829,0.0
5,30,150.0,0.0,100.0,1.0,0.0,0.0,0.58,0.0,1.7241379310344829,0.0
6,40,150.0,0.0,100.0,1.0,0.0,0.0,0.58,0.0,1.7241379310344829,0.0
7,40,150.0,0.0,100.0,1.0,0.0,0.0,0.55,0.0,1.8181818181818181,0.0
8,50,150.0,0.0,100.0,1.0,0.0,0.0,0.58,0.0,1.7241379310344829,0.0
9,70,150.0,0.0,100.0,1.0,0.0,0.0,0.55,0.0,1.8181818181818181,0.0
10,80,150.0,0.0,100.0,1.0,0.0,0.0,0.6,0.0,1.6666666666666667,0.0
11,90,150.0,0.0,100.0,1.0,0.0,0.0,0.58,0.0,1.7241379310344829,0.0
12,80,150.0,0.0,100.0,1.0,0.0,0.0,0.45,0.0,2.2222222222222223,0.0
13,100,150.0,0.0,100.0,1.0,0.0,0.0,0.52,0.0,1.923076923076923,0.0
14,70,150.0,0.0,100.0,1.0,0.0,0.0,0.5,0.0,2.0,0.0
15,70,150.0,0.0,100.0,1.0,0.0,0.0,0.48,0.0,2.0833333333333335,0.0
16,60,150.0,0.0,100.0,1.0,0.0,0.0,0.48,0.0,2.0833333333333335,0.0
17,50,150.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,30,150.0,0.0,100.0,1.0,0.0,0.0,0.52,0.0,1.923076923076923,0.0
19,30,110.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,100.0,0.0,100.0,1.0,0.0,0.0,0.52,0.0,1.923076923076923,0.0
21,10,100.0,0.0,100.0,1.0,0.0,0.0,0.42,0.0,2.380952380952381,0.0
22,0,100.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,20.0,0.0,100.0,1.0,0.0,0.0,0.58,0.0,1.7241379310344829,0.0
24,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
