period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,90.0,100.0,0.0,126.66666666666667,0.0,100.0,0.8,0.0
2,0,280.0,0.0,80.0,116.00000018392599,-1.8392603351458092e-7,0.0,0.0,0.4
3,0,240.0,0.0,49.999999886436804,111.00000021009501,0.0,0.0,0.0,0.3
4,20,150.0,0.0,50.0,106.00000077058401,6.702916977019414e-7,0.0,0.4,0.3
5,30,110.0,0.0,80.0,95.33333343362558,6.702917545453603e-7,0.0,0.4,0.4
6,40,150.0,0.0,100.0,78.666666766964,6.702917829670697e-7,0.0,0.0,0.5
7,40,150.0,0.0,100.0,62.0000001003032,0.0,0.0,0.0,0.5
8,50,110.0,0.0,60.0,54.40000010031081,0.0,0.0,0.4,0.37999999999999945
9,70,150.0,0.0,80.0,43.73333343364829,0.0,0.0,0.0,0.4
10,80,150.0,0.0,70.0,34.63333343364093,6.702879389308692e-7,0.0,0.4,0.3899999999999999
11,90,150.0,100.0,0.0,61.30000010031044,0.0,0.0,0.8,0.0
12,80,150.0,0.0,70.0,52.200000100292804,0.0,0.0,0.0,0.3899999999999999
13,100,150.0,0.0,50.0,47.20000010029764,0.0,0.0,0.4,0.3
14,70,150.0,0.0,80.0,36.533333433637836,0.0,0.0,0.0,0.4
15,70,150.0,100.0,0.0,63.20000010030549,0.0,0.0,0.8,0.0
16,60,150.0,100.0,0.0,89.86666676697416,0.0,0.0,0.8,0.1
17,50,150.0,100.0,0.0,116.53333343364227,0.0,0.0,0.8,0.3800000000000009
18,30,150.0,80.0,0.0,136.53333343364267,0.0,0.0,0.75,0.18
19,30,110.0,0.0,80.00010238444786,125.86666676697853,0.0,0.0,0.0,0.39999948807841584
20,10,100.0,0.0,90.0,113.26666676698125,0.0,0.0,0.4,0.41999999999999976
21,10,100.0,0.0,90.0,100.66666676698256,0.0,0.0,0.0,0.4199999999999999
22,0,100.0,100.0,0.0,127.33333343365075,0.0,0.0,0.8,0.18
23,0,20.0,100.0,0.0,0.0,154.00000010031872,0.0,0.8,0.0
24,0,0.0,100.0,0.0,0.0,26.666666666666668,0.0,0.8,0.0
