period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.6
2,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.6
3,0,190.0,10.0,0.0,2.527202426559382,0.6394642401073112,0.0,0.95,0.0
4,20,190.0,30.0,0.0,11.327202426558904,0.0,0.0,0.8800000000000004,0.6
5,30,150.0,0.0,100.0,1.3272024265589035,0.0,0.0,0.0,0.3
6,40,150.0,78.09658214898853,0.0,20.999999324729245,0.0,0.0,0.7557102535530345,0.6
7,40,150.0,0.0,100.0,10.999999324729245,0.0,0.0,0.95,0.3
8,50,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
9,70,20.0,50.0,0.0,11.0,3.6666666666666665,0.0,0.8199999999999962,0.6
10,80,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
11,90,150.0,63.71710832916813,0.0,17.833333333333332,0.0,0.0,0.7925657853007753,0.0
12,80,150.0,0.0,100.0,7.833333333333333,0.0,0.0,0.0,0.3
13,100,150.0,10.0,0.0,11.0,0.0,0.0,0.95,0.6
14,70,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
15,70,150.0,58.635663520678726,0.0,0.0,16.68951001269204,0.0,0.8027286729586426,0.6
16,60,150.0,58.62087761922115,0.0,0.0,15.686130941329694,0.0,0.8027582447616166,0.6
17,50,150.0,58.63614127619362,0.0,1.0,14.689618615524843,0.0,0.8027277174476106,0.6
18,30,150.0,80.0,0.0,21.0,0.0,0.0,0.75,0.6
19,30,150.0,0.0,100.0,11.0,0.0,0.0,0.0,0.3
20,10,110.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
21,10,60.0,0.0,0.0,0.0,1.0,0.0,0.95,0.6
22,0,150.0,47.57763775344529,0.0,0.0,13.119809981031022,0.0,0.8272674264968712,0.0
23,0,30.0,58.6286470331363,0.0,0.0,15.687907170677729,0.0,0.8027427059337274,0.0
24,0,0.0,58.641638599839,0.0,-0.0,15.690875074197605,0.0,0.8027167228003221,0.0
