period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.0
2,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.6
3,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.0
4,20,190.0,30.0,0.0,0.0,8.8,0.0,0.8799999999941155,0.0
5,30,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
6,40,150.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
7,40,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
8,50,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.6
9,70,60.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.6
10,80,60.0,20.0,0.0,0.0,6.0,0.0,0.9,0.6
11,90,150.0,58.629054455544846,0.0,0.0,15.687999348795044,0.0,0.8027418910886777,0.0
12,80,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.6
13,100,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
14,70,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
15,70,150.0,58.63989315483286,0.0,0.0,15.69047619047619,0.0,0.8027202136903343,0.0
16,60,150.0,58.636678797242894,0.0,0.0,15.689742004256658,0.0,0.8027266717395182,0.0
17,50,150.0,58.63989315426995,0.0,0.0,15.690475854546653,0.0,0.8027202136914602,0.0
18,30,150.0,58.63830086535568,0.0,0.0,15.690112046278024,0.0,0.8027233982600591,0.0
19,30,60.0,0.0,0.0,0.0,0.0,0.0,0.95,0.6
20,10,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
21,10,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
22,0,150.0,47.52485432007631,0.0,0.0,13.10775801111382,0.0,0.8274254370397385,0.0
23,0,30.0,58.63653140705027,0.0,0.0,15.689707754529296,0.0,0.8027269371859272,0.0
24,0,0.0,58.641638599839,0.0,0.0,15.690875074197605,0.0,0.8027167228003221,0.0
