period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.6
2,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.0
3,0,190.0,10.0,0.0,2.2,0.9666666666666667,0.0,0.95,0.0
4,20,190.0,30.0,0.0,11.0,0.0,0.0,0.8799999999999131,0.0
5,30,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
6,40,150.0,0.0,100.0,91.0,0.0,100.0,0.95,0.3
7,40,150.0,0.0,100.0,22.833333333333332,58.166666666666664,0.0,0.95,0.3
8,50,150.0,0.0,100.0,12.833333333333334,0.0,0.0,0.9,0.3
9,70,60.0,10.0,0.0,16.0,0.0,0.0,0.95,0.0
10,80,150.0,0.0,100.0,6.0,0.0,0.0,0.95,0.3
11,90,150.0,100.0,0.0,29.333333333333332,0.0,0.0,0.7,0.0
12,80,150.0,0.0,100.0,19.333333333333332,0.0,0.0,0.95,0.3
13,100,150.0,0.0,50.0,11.0,0.0,0.0,0.0,0.5
14,70,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
15,70,150.0,58.626300963388864,0.0,0.0,16.68738123371771,0.0,0.8027479634190163,0.0
16,60,150.0,58.63427851952637,0.0,0.0,15.689193112832191,0.0,0.8027314429609473,0.58000000000012
17,50,150.0,60.0,0.0,12.8,3.2,0.0,0.8,0.0
18,30,150.0,70.0,0.0,31.0,0.0,0.0,0.78,0.52
19,30,110.0,0.0,100.0,21.0,0.0,0.0,0.95,0.3
20,10,100.0,0.0,100.0,11.0,0.0,0.0,0.72,0.3
21,10,100.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
22,0,100.0,58.63955887784422,0.0,0.0,16.690399785201684,0.0,0.8027208810254496,0.6
23,0,20.0,58.62805074507423,0.0,0.0,15.68777092231467,0.0,0.8027439454123688,0.6
24,0,0.0,58.63095238095238,0.0,0.0,15.688433015251082,0.0,0.8027380952104588,0.0
