period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.6
2,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.0
3,0,190.0,10.0,0.0,2.2,0.9666666666666667,0.0,0.95,0.0
4,20,190.0,30.0,0.0,11.0,0.0,0.0,0.88,0.0
5,30,150.0,0.0,100.0,1.0,0.0,0.0,0.0,0.3
6,40,150.0,80.0,0.0,21.0,0.0,0.0,0.75,0.6
7,40,150.0,0.0,100.0,11.0,0.0,0.0,0.95,0.3
8,50,150.0,0.0,100.0,1.0,0.0,0.0,0.0,0.3
9,70,20.0,50.0,0.0,11.5,3.1666666666666665,0.0,0.82,0.0
10,80,150.0,0.0,70.0,1.0,0.0,0.0,0.0,0.45
11,90,150.0,47.5,0.0,11.0,3.1020833333336846,0.0,0.8274999999999998,0.3
12,80,150.0,0.0,100.0,1.0,0.0,0.0,0.65,0.3
13,100,150.0,34.63864698776331,0.0,11.0,0.0,0.0,0.866084636925889,0.0
14,70,150.0,0.0,100.0,1.0,0.0,0.0,0.0,0.3
15,70,150.0,70.0,0.0,0.0,19.2,0.0,0.78,0.6
16,60,150.0,70.0,0.0,0.0,18.2,0.0,0.78,0.42999999999999994
17,50,150.0,47.57618969368637,0.0,1.0,12.119479569914954,0.0,0.8272717710928287,0.6
18,30,150.0,80.0,0.0,21.0,0.0,0.0,0.75,0.6
19,30,150.0,0.0,100.0,11.0,0.0,0.0,0.95,0.3
20,10,110.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
21,10,60.0,0.0,0.0,0.0,1.0,0.0,0.95,0.6
22,0,150.0,40.0,0.0,0.0,11.333333333333334,0.0,0.85,0.0
23,0,30.0,30.0,0.0,0.0,8.8,0.0,0.88,0.0
24,0,0.0,58.63095238095238,0.0,0.0,15.688433015251082,0.0,0.8027380952104588,0.0
