period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.6
2,0,190.0,10.0,0.0,8.653496206578737e-5,3.1665801317050835,0.0,0.95,0.5200000000000021
3,0,190.0,0.0,0.0,8.653496206578737e-5,0.0,0.0,0.0,0.0
4,20,190.0,0.0,0.0,8.653496206578737e-5,0.0,0.0,0.0,0.3
5,30,150.0,10.294293723948364,0.0,3.254896970822238,0.0,0.0,0.9485285313805633,0.0
6,40,150.0,67.88169302560574,0.0,21.0,0.0,0.0,0.7842366139486984,0.5999089391409932
7,40,150.0,0.0,100.0,11.0,0.0,0.0,0.85,0.3
8,50,150.0,0.0,100.0,1.0,0.0,0.0,0.8,0.3
9,70,20.0,49.29159692626368,0.0,11.500013133227771,3.0079415809127354,0.0,0.8221251995162552,0.0
10,80,150.0,0.0,70.00012842258798,1.0,0.0,0.0,0.95,0.44999974315482405
11,90,150.0,51.917830776591295,0.0,11.0,4.124494003127637,0.0,0.8161643384468585,0.3
12,80,150.0,0.0,100.0,1.0,0.0,0.0,0.0,0.3
13,100,150.0,0.0,0.0,0.0,1.0,0.0,0.95,0.0
14,70,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
15,70,150.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.0
16,60,150.0,80.0,0.0,0.0,20.0,0.0,0.75,0.6
17,50,150.0,69.99999837819894,0.0,0.0,18.2,0.0,0.7800000032436021,0.6
18,30,150.0,58.6316140440086,0.0,11.089721269054273,4.59886306505291,0.0,0.8027367719119831,0.0
19,30,150.0,0.0,100.0,1.0897212690492708,0.0,0.0,0.7,0.3
20,10,20.0,34.286007302048894,0.0,11.0,0.0,0.0,0.8671419780938532,0.4299999999999995
21,10,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
22,0,150.0,25.09525513611934,0.0,0.0,8.443332055753377,0.0,0.8898094897277615,0.4299999999999996
23,0,30.0,70.00977392301337,0.0,0.0,18.201856949842966,0.0,0.7799706782309599,0.6
24,0,0.0,58.63095238095238,0.0,0.0,15.688433015251082,0.0,0.8027380952104588,0.0
