period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,10.0,0.0,108.96665305608576,0.0,105.63331972275242,1.0,0.6
2,0,190.0,10.0,0.0,112.29998638941967,0.0,0.0,1.0,0.9
3,0,190.0,10.0,0.0,115.63331972275385,0.0,0.0,1.0,0.0
4,20,190.0,30.0,0.0,124.93331972275533,0.0,0.0,0.9300000000000198,0.8997668642479548
5,30,150.0,0.0,100.0,104.93331972275533,0.0,0.0,0.0,0.6
6,40,150.0,0.0,100.0,84.93331972275047,0.0,0.0,1.0,0.6
7,40,150.0,0.0,100.0,64.93331972275155,0.0,0.0,0.0,0.6
8,50,150.0,0.0,100.0,44.933319722758235,0.0,0.0,0.95,0.6
9,70,150.0,0.0,100.0,24.933319722759943,0.0,0.0,1.0,0.6
10,80,150.0,0.0,70.0,7.433319722756888,0.0,0.0,1.0,0.75
11,90,150.0,99.99998545938807,0.0,32.433337656219024,0.0,0.0,0.7500006470584836,0.0
12,80,150.0,0.0,70.0,14.933337656221852,0.0,0.0,0.0,0.75
13,100,110.0,0.0,10.0,11.933337656221925,0.0,0.0,1.0,0.9
14,70,110.0,0.0,40.0,1.0000043228901276,0.0,0.0,0.0,0.8200000000000002
15,70,150.0,69.99988847777684,0.0,20.36665784529467,0.0,0.0,0.8300007590105629,0.0
16,60,150.0,69.99999687643643,0.0,39.733347595097335,0.0,0.0,0.8300010263137881,0.9
17,50,150.0,70.0,0.0,59.10001426175991,0.0,0.0,0.8300000000180191,0.9
18,30,150.0,69.99999793792124,0.0,78.46668045414712,0.0,0.0,0.8300000041241584,0.0
19,30,110.0,0.0,100.0,58.466680454147124,0.0,0.0,1.0,0.6
20,10,100.0,0.0,100.0,21.0,17.46668045414784,0.0,1.0,0.6
21,10,100.0,0.0,100.0,1.0,0.0,0.0,1.0,0.6
22,0,100.0,70.0,0.0,20.366666666666667,0.0,0.0,0.8300000000000288,0.8799999999999998
23,0,20.0,70.0,0.0,0.0,39.733333333333334,0.0,0.8300000006469451,0.9
24,0,0.0,70.0,0.0,0.0,19.366666666666667,0.0,0.83,0.0
