period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,90.0,86.10132848908513,0.0,21.0,0.0,0.0,0.7316960272916612,0.6
2,0,90.0,0.0,100.0,11.0,0.0,0.0,0.95,0.3
3,0,240.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
4,20,240.0,0.0,100.0,991.0,0.0,1000.0,0.95,0.3
5,30,150.0,0.0,100.0,981.0,0.0,0.0,0.0,0.3
6,40,150.0,0.0,100.0,971.0,0.0,0.0,0.95,0.3
7,40,150.0,0.0,100.0,961.0,0.0,0.0,0.95,0.3
8,50,150.0,0.0,100.0,33.9764746204662,917.0235253795338,0.0,0.95,0.3
9,70,150.0,0.0,100.0,23.9764746204662,0.0,0.0,0.95,0.3
10,80,150.0,0.0,70.0,13.476474620466202,0.0,0.0,0.95,0.45
11,90,150.0,61.58173516301642,0.0,29.833333333333332,0.0,0.0,0.7968365296739672,0.0
12,80,150.0,0.0,70.0,19.333333333333332,0.0,0.0,0.95,0.45
13,100,150.0,0.0,50.0,11.0,0.0,0.0,0.95,0.5
14,70,150.0,0.0,100.0,1.0,0.0,0.0,0.0,0.3
15,70,150.0,60.000281940182965,0.0,17.00006390638779,0.0,0.0,0.799999436119634,0.6
16,60,150.0,62.9215117313507,0.0,33.656583078296336,0.0,0.0,0.7941569765372987,0.0
17,50,150.0,66.03392232396102,0.0,51.0,0.0,0.0,0.787932155352078,0.0
18,30,150.0,0.0,100.0,41.0,0.0,0.0,0.0,0.3
19,30,110.0,0.0,100.0,31.0,0.0,0.0,0.0,0.3
20,10,100.0,0.0,100.0,21.0,0.0,0.0,0.95,0.3
21,10,100.0,0.0,100.0,11.0,0.0,0.0,0.95,0.3
22,0,100.0,0.0,100.0,1.0,0.0,0.0,0.72,0.3
23,0,20.0,0.0,0.0,0.0,1.0,0.0,0.95,0.0
24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
