period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,10.0,0.0,3.1666666666666665,0.0,0.0,0.95,0.6
2,0,190.0,10.0,0.0,6.333333333333333,0.0,0.0,0.95,0.6
3,0,190.0,0.0,100.0,96.33333333333333,0.0,100.0,0.95,0.3
4,20,190.0,0.0,100.0,86.33333333333333,0.0,0.0,0.95,0.3
5,30,150.0,0.0,100.0,76.33333333333333,0.0,0.0,0.95,0.3
6,40,150.0,0.0,100.0,66.33333333333333,0.0,0.0,0.95,0.3
7,40,150.0,0.0,100.0,56.333333333333336,0.0,0.0,0.95,0.3
8,50,150.0,0.0,100.0,21.500006683628044,24.833326649705377,0.0,0.95,0.3
9,70,150.0,0.0,100.0,11.500006683627543,0.0,0.0,0.95,0.3
10,80,150.0,0.0,70.0,1.0000066836275376,0.0,0.0,0.95,0.45
11,90,150.0,36.62223012063831,0.0,11.500006683624932,0.0,0.0,0.8601333096380849,0.6
12,80,150.0,0.0,70.0,1.0000066836249282,0.0,0.0,0.95,0.45
13,100,60.0,40.0,0.0,12.333340016958456,0.0,0.0,0.85,0.6
14,70,150.0,0.0,100.0,2.3333400169584557,0.0,0.0,0.95,0.3
15,70,150.0,56.013383611579265,0.0,17.419121585589043,0.0,0.0,0.8079737696213022,0.0
16,60,150.0,0.0,100.0,7.419121585589206,0.0,0.0,0.95,0.3
17,50,150.0,62.131335676596954,0.0,23.899195944441193,0.0,0.0,0.7957373286468495,0.6
18,30,150.0,64.92791296932582,0.0,41.0,0.0,0.0,0.7901441740613484,0.58
19,30,110.0,0.0,100.0,31.0,0.0,0.0,0.95,0.3
20,10,100.0,0.0,100.0,21.0,0.0,0.0,0.95,0.3
21,10,100.0,0.0,100.0,11.0,0.0,0.0,0.95,0.3
22,0,100.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
23,0,20.0,0.0,0.0,0.0,1.0,0.0,0.95,0.6
24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
