period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.6
2,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.0
3,0,190.0,10.0,0.0,2.2,0.9666666666666667,0.0,0.95,0.0
4,20,190.0,30.0,0.0,11.0,0.0,0.0,0.8799999999999991,0.0
5,30,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
6,40,150.0,80.0,0.0,21.0,0.0,0.0,0.75,0.6
7,40,150.0,0.0,100.0,11.0,0.0,0.0,0.0,0.3
8,50,150.0,0.0,100.0,1.0,0.0,0.0,0.9,0.3
9,70,20.0,50.0,0.0,11.0,3.6666666666666665,0.0,0.82,0.0
10,80,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
11,90,150.0,58.59158343945787,0.0,11.0,5.679440151365602,0.0,0.8028170206852219,0.0
12,80,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
13,100,150.0,34.63867325139174,0.0,11.0,0.0,0.0,0.8660839802458742,0.6
14,70,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
15,70,150.0,58.63305406048097,0.0,0.0,16.688913285488862,0.0,0.8027338949105143,0.6
16,60,150.0,58.73066394951835,0.0,0.0,15.711209685884791,0.0,0.8025386721009633,0.6
17,50,150.0,58.64411893586281,0.0,1.0,14.691441350064306,0.0,0.8027117621282744,0.6
18,30,150.0,80.0,0.0,21.0,0.0,0.0,0.75,0.0
19,30,150.0,0.0,100.0,11.0,0.0,0.0,0.95,0.3
20,10,110.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
21,10,60.0,0.0,0.0,0.0,1.0,0.0,0.95,0.0
22,0,150.0,47.57763775344321,0.0,0.0,13.119809981030548,0.0,0.8272674264968775,0.0
23,0,30.0,58.6286470331363,0.0,0.0,15.687907170677729,0.0,0.8027427059337274,0.6
24,0,0.0,58.641638599839,0.0,-0.0,15.690875074197605,0.0,0.8027167228003221,0.0
