period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.6
2,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.0
3,0,190.0,10.0,0.0,2.2,0.9666666666666667,0.0,0.9499997651681161,0.58
4,20,190.0,30.0,0.0,11.0,0.0,0.0,0.8800000000000391,0.0
5,30,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
6,40,150.0,80.0,0.0,21.0,0.0,0.0,0.75,0.0
7,40,150.0,0.0,100.0,11.0,0.0,0.0,0.0,0.3
8,50,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
9,70,60.0,10.0,0.0,0.0,4.166666666666667,0.0,0.95,0.0
10,80,60.0,20.0,0.0,0.0,6.0,0.0,0.9,0.0
11,90,150.0,58.62799496347948,0.0,11.0,4.6877572598419075,0.0,0.8027440100730437,0.0
12,80,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
13,100,150.0,0.0,0.0,0.0,1.0,0.0,0.95,0.0
14,70,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.6
15,70,150.0,58.631521995471374,0.0,0.0,15.688563164274276,0.0,0.8027369560090581,0.6
16,60,150.0,58.59375000000601,0.0,0.0,15.679931640626387,0.0,0.8028124999999887,0.6
17,50,150.0,58.628050745074454,0.0,0.9999784776193081,14.68779152809218,0.0,0.8027438985098516,0.6
18,30,150.0,80.0,0.0,21.0,0.0,0.0,0.7500008070892761,0.6
19,30,150.0,0.0,100.0,11.0,0.0,0.0,0.95,0.3
20,10,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
21,10,60.0,0.0,0.0,0.0,1.0,0.0,0.95,0.6
22,0,150.0,47.52995270267221,0.0,0.0,13.108921839977738,0.0,0.8274101418919834,0.6
23,0,30.0,58.63249536002577,0.0,0.0,15.688785568978936,0.0,0.8027350092799485,0.6
24,0,0.0,58.63095238095238,0.0,0.0,15.688433015251082,0.0,0.8027380952104588,0.0
