period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.6
2,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.6
3,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.6
4,20,190.0,30.0,0.0,0.0,8.8,0.0,0.8800000000000386,0.0
5,30,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
6,40,150.0,10.0,0.0,3.1658236067867307,0.0008430598799358258,0.0,0.95,0.0
7,40,60.0,26.49634187853579,0.0,10.99997330676488,0.0,0.0,0.8870073162429319,0.0
8,50,150.0,0.0,100.0,1.000816468402041,0.0,0.0008431616371602502,0.0,0.3
9,70,60.0,34.63545955788604,0.0,11.0,0.0,0.0,0.8660936213263788,0.6
10,80,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
11,90,150.0,58.62495297581978,0.0,11.0,5.687062171642804,0.0,0.8027500940484248,0.6
12,80,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
13,100,150.0,34.638672090274305,0.0,11.0,0.0,0.0,0.8660839837291774,0.6
14,70,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
15,70,150.0,58.62864703327675,0.0,0.0,16.687906254871372,0.0,0.8027427059335069,0.6
16,60,150.0,58.628647032771745,0.0,0.0,15.687906254788363,0.0,0.8027427059214756,0.6
17,50,150.0,58.634396682144626,0.0,1.0,14.689219999579416,0.0,0.8027312066352538,0.6
18,30,150.0,80.0,0.0,21.0,0.0,0.0,0.75,0.6
19,30,150.0,0.0,100.0,11.0,0.0,0.0,0.9499443859032899,0.3
20,10,150.0,0.0,100.0,1.0,0.0,0.0,0.0,0.3
21,10,60.0,0.0,0.0,0.0,1.0,0.0,0.95,0.0
22,0,150.0,47.522582867659914,0.0,0.0,13.107239244796476,0.0,0.8274322513970229,0.6
23,0,30.0,58.62836130522359,0.0,0.0,15.687840967378003,0.0,0.8027432773895525,0.6
24,0,0.0,58.641638599839,0.0,0.0,15.690875074197605,0.0,0.8027167228003221,0.0
