period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,0.0,100.0,410.7999992068666,0.0,430.7999992068666,1.0,0.6
2,0,190.0,0.0,100.0,390.7999992068666,0.0,0.0,1.0,0.6
3,0,100.0,0.0,100.0,370.7999992068666,0.0,0.0,1.0,0.6
4,20,190.0,0.0,100.0,350.7999992068666,0.0,0.0,1.0,0.6
5,30,150.0,0.0,100.0,330.7999992068666,0.0,0.0,1.0,0.6
6,40,150.0,0.0,100.0,310.7999992068666,0.0,0.0,1.0,0.6
7,40,150.0,0.0,100.0,290.7999992068666,0.0,0.0,1.0,0.6
8,50,150.0,0.0,100.0,270.7999992068666,0.0,0.0,1.0,0.6
9,70,150.0,0.0,100.0,250.7999992068666,0.0,0.0,1.0,0.6
10,80,150.0,0.0,70.0,233.2999992068666,0.0,0.0,1.0,0.75
11,90,150.0,0.0,60.0,217.69999920683924,0.0,0.0,1.0,0.7800000000013685
12,80,150.0,0.0,70.0,200.19999920683924,0.0,0.0,1.0,0.75
13,100,150.0,0.0,50.0,186.86666666666667,0.0,0.0,1.0,0.8
14,70,150.0,0.0,100.0,166.86666666666667,0.0,0.0,1.0,0.6
15,70,150.0,0.0,100.0,146.86666666666667,0.0,0.0,1.0,0.6
16,60,150.0,0.0,100.0,126.86666666666666,0.0,0.0,1.0,0.6
17,50,150.0,0.0,100.0,106.86666666666666,0.0,0.0,1.0,0.6
18,30,150.0,0.0,100.0,86.86666666666666,0.0,0.0,1.0,0.6
19,30,110.0,0.0,100.0,66.86666666666666,0.0,0.0,1.0,0.6
20,10,100.0,0.0,100.0,46.86666666666667,0.0,0.0,1.0,0.6
21,10,100.0,0.0,100.0,26.866666666666667,0.0,0.0,1.0,0.6
22,0,100.0,0.0,100.0,6.866666666666666,0.0,0.0,1.0,0.6
23,0,20.0,0.0,20.0,1.0,0.0,0.0,1.0,0.8800000000014385
24,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
