period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2,inv_η_toH2,inv_η_fromH2
1,0,90.0,0.0,90.0,1.0,0.0,7.75,0.0,0.4,0.0,2.5
2,0,280.0,0.0,90.0,1.0,0.0,6.75,0.0,0.4,0.0,2.5
3,0,240.0,0.0,90.0,6.7500006750026476,0.0,12.500001350003098,0.0,0.4,0.0,2.5
4,20,150.0,0.0,90.0,1000.0,0.0,1000.0,0.0,0.4,0.0,2.5
5,30,110.0,0.0,80.0,1000.0,0.0,5.58139590697707,0.0,0.4300000000000104,0.0,2.3255813953488937
6,40,110.0,0.0,80.0,994.4186040930242,0.0,0.0,0.9,0.4299999999999998,1.1111111111111112,2.3255813953488307
7,40,150.0,0.0,100.0,984.4186030930243,0.0,0.0,0.0,0.3,0.0,3.3333333333333335
8,50,150.0,0.0,100.0,974.418602093022,0.0,0.0,0.0,0.3,0.0,3.3333333333333335
9,70,150.0,0.0,80.0,968.8372061860454,0.0,0.0,0.95,0.43,1.0526315789474054,2.3255813953488373
10,80,150.0,0.0,80.0,963.2558102790716,0.0,0.0,0.95,0.4299999999999394,1.0526315789473677,2.3255813953485096
11,90,150.0,0.0,80.0,957.6744143720948,0.0,0.0,0.95,0.4299999999999998,1.0526315789473684,2.325581395348837
12,80,150.0,0.0,80.0,952.093018465118,0.0,0.0,0.0,0.4299999999999999,0.0,2.325581395348836
13,100,150.0,0.0,80.0,946.511622558137,0.0,0.0,0.0,0.4299999999999998,0.0,2.325581395348836
14,70,150.0,0.0,80.0,940.9302266511643,0.0,0.0,0.0,0.43,0.0,2.3255813953522844
15,70,150.0,0.0,80.0,935.3488307441875,0.0,0.0,0.0,0.43,0.0,2.3255813953488373
16,60,150.0,0.0,90.0,928.5988300691872,0.0,0.0,0.0,0.4,0.0,2.5
17,50,150.0,0.0,90.0,921.8488293941872,6.750000238753273e-7,0.0,0.0,0.4,0.0,2.5
18,30,150.0,0.0,90.0,915.0988287191872,0.0,0.0,0.95,0.4,1.0526315789473684,2.5
19,30,110.0,0.0,80.0,26.831397931976,882.6860348802344,0.0,0.0,0.43,0.0,2.325581395348848
20,10,100.0,0.0,90.0,20.081397256975933,6.750000665078915e-7,0.0,0.0,0.4,0.0,2.5
21,10,100.0,0.0,90.0,13.331396581975866,6.750000665078915e-7,0.0,0.9,0.4,1.1111111111111112,2.5
22,0,100.0,0.0,90.0,6.581395906977351,0.0,0.0,0.0,0.4,0.0,2.5
23,0,20.0,0.0,80.00001575810268,1.0,0.0,0.0,0.0,0.429999952725692,0.0,2.3255809372645473
24,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
