period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2,inv_η_toH2,inv_η_fromH2
1,0,90.0,0.0,90.0,493.2499993249996,0.0,0.0,0.0,0.4,0.0,2.5
2,0,280.0,0.0,90.0,486.4999986499995,0.0,0.0,0.0,0.4,0.0,2.5
3,0,240.0,0.0,90.0,479.7499979749994,0.0,0.0,0.0,0.4,0.0,2.5
4,20,150.0,0.0,90.0,1000.0,0.0,527.0000027000006,0.0,0.4,0.0,2.5
5,30,110.0,0.0,80.0,1000.0,0.0,5.581395906975331,0.95,0.42999933942129315,1.0526315789473684,2.325581395348836
6,40,110.0,0.0,80.0,994.4186040930251,0.0,0.0,0.95,0.4299999999999998,1.0526315789473684,2.325581395348836
7,40,150.0,0.0,100.0,984.4186030930227,0.0,0.0,0.95,0.3,1.0526315789473684,3.3333333333333335
8,50,150.0,0.0,100.0,974.418603093024,0.0,0.0,0.95,0.3,1.0526315789473684,3.3333329999999997
9,70,150.0,0.0,80.00002396344743,968.8372061829247,0.0,0.0,0.0,0.4299999281096577,0.0,2.3255811167041824
10,80,150.0,0.0,80.0,963.2558102759446,0.0,0.0,0.0,0.43000000000002137,0.0,2.3255813953489706
11,90,150.0,0.0,80.0,957.674414368971,0.0,0.0,0.0,0.42999999999998906,0.0,2.325581395348906
12,80,150.0,0.0,80.0,952.0930184619942,0.0,0.0,0.0,0.4299999999999998,0.0,2.325581395348836
13,100,150.0,0.0,80.0,946.5116232531208,0.0,0.0,0.9,0.4299999999999998,1.1111111111111112,2.325581395348836
14,70,150.0,0.0,80.00001000614694,940.9302262291786,0.0,0.0,0.0,0.42999996998155904,0.0,2.325581569874654
15,70,150.0,0.0,80.0,935.3488303222018,0.0,0.0,0.0,0.43000000000002125,0.0,2.325581395348836
16,60,150.0,0.0,90.0,928.5988296472018,0.0,0.0,0.95,0.4,1.0526315789473684,2.5
17,50,150.0,0.0,90.0,921.8488292189459,0.0,0.0,0.0,0.4,0.0,2.5
18,30,150.0,0.0,90.0,915.0988292189459,0.0,0.0,0.0,0.4,0.0,2.499999750000002
19,30,110.0,0.0,80.0,531.4127938389521,378.10463947301696,0.0,0.9,0.43,1.1111111111111112,2.325581395348836
20,10,100.0,0.0,90.0,524.6627931639516,0.0,0.0,0.0,0.4,0.0,2.5
21,10,100.0,0.0,90.0,517.9127924889513,0.0,0.0,0.0,0.4,0.0,2.5
22,0,100.0,0.0,90.0,511.162791813951,0.0,0.0,0.95,0.4,1.0526315789473684,2.5
23,0,20.0,0.0,80.0,505.5813959069742,0.0,0.0,0.0,0.4299999999999998,0.0,2.325581395348836
24,0,0.0,0.0,80.0,500.0,0.0,0.0,0.0,0.4299999999999998,0.0,2.325581395348836
