period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2,inv_η_toH2,inv_η_fromH2
1,0,280.0,0.0,90.0,1.0,0.0,3.25,0.0,0.4,0.0,2.5
2,0,280.0,0.0,90.0,3.25,0.0,9.0,0.0,0.4,0.0,2.5
3,0,150.0,0.0,90.0,5.499998650000024,0.0,8.99999932500009,0.9,0.4,1.1111111111111112,2.5
4,20,150.0,0.0,90.0,7.749997974999791,0.0,9.0,0.0,0.4,0.0,2.5
5,30,110.0,0.0,80.0,9.0,0.0,6.831397931976994,0.0,0.430000000000015,0.0,2.3255813953489084
6,40,110.0,0.0,70.0,9.0,0.0,4.666666666666667,0.0,0.45,0.0,2.2222222222222223
7,40,110.0,0.0,70.0,9.0,0.0,4.666666666666667,0.0,0.45,0.0,2.2222222222222223
8,50,110.0,0.0,60.0,5.25,0.0,0.0,0.95,0.4800000000000158,1.0526315789474023,2.0833333333333335
9,70,150.0,0.0,80.0,1.0,0.0,1.3313959069768,0.9,0.4299999999999998,1.1111111111111112,2.325581395348836
10,80,150.0,0.0,70.0,3.75,0.0,7.416666666666667,0.0,0.45,0.0,2.2222222222222223
11,90,150.0,0.0,60.0,9.0,0.0,9.0,0.95,0.4800000000000171,1.0526315789473681,2.0833333333333335
12,80,150.0,0.0,70.0,4.333333333333333,0.0,0.0,0.0,0.45,0.0,2.2222222222222223
13,100,150.0,0.0,50.0,1.3333325666665887,0.0,0.0,0.0,0.5,0.0,2.0000003111110938
14,70,150.0,0.0,80.0,1.0813972569770676,0.0,5.329460597287257,0.0,0.43,0.0,2.325581395348836
15,70,150.0,0.0,80.0,4.500001350000092,0.0,9.0,0.0,0.43000000000001704,0.0,2.325581395348921
16,60,150.0,0.0,90.0,6.75,0.0,8.999999324999974,0.9,0.4,1.1111111111111112,2.5
17,50,150.0,0.0,90.0,9.0,0.0,9.0,0.0,0.4,0.0,2.5
18,30,150.0,0.0,90.0,9.0,0.0,6.75,0.0,0.4,0.0,2.5
19,30,110.0,0.0,80.0,3.4186040930231454,0.0,0.0,0.0,0.4299999999999998,0.0,2.325581395348836
20,10,100.0,0.0,90.0,1.0,0.0,4.331396581976948,0.95,0.4,1.0526315789473677,2.5
21,10,100.0,0.0,90.0,1.0,0.0,6.75,0.0,0.4,0.0,2.5
22,0,100.0,0.0,90.0,1.0,0.0,6.75,0.0,0.4,0.0,2.5
23,0,20.0,0.0,60.0,1.0,0.0,3.75,0.0,0.4800000000000157,0.0,2.0833333333333335
24,0,0.0,0.0,79.13689939555479,4.5,0.0,9.0,0.0,0.43172620120889044,0.0,2.3166604588687827
