period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2,inv_η_toH2,inv_η_fromH2
1,0,190.0,10.0,0.0,4.785000028500004,0.0,0.0,0.95,0.6,1.0526315789473684,1.6666666666666667
2,0,190.0,10.0,0.0,5.070000057000011,0.0,0.0,0.95,0.0,1.0526315789473684,0.0
3,0,190.0,10.0,0.0,5.355000085500026,0.0,0.0,0.95,0.6,1.0526315789473681,1.6666666666666667
4,20,190.0,30.0,0.0,6.147000164700065,0.0,0.0,0.8800000000000139,0.6,1.136363636363636,1.6666666666666667
5,30,150.0,0.0,3.3813085033480146,6.089833952043811,0.0,0.0,0.95,0.20287851020088085,1.0526315789473684,0.5635514172246691
6,40,150.0,0.0,3.382183342605103,6.0326381255092505,0.0,0.0,0.95,0.2029310005563172,1.0526315789473684,0.5636972237675311
7,40,150.0,0.0,5.0707098443764735,5.904077622258256,0.0,0.0,0.0,0.30424259066258835,0.0,0.8451183073960788
8,50,60.0,0.0,6.759484852694218,5.675624434476879,0.0,0.0,0.0,0.40556909116165313,0.0,1.1265808087823699
9,70,110.0,0.0,40.0,3.3679318960153513,0.0,0.0,0.95,0.5200000000000138,1.0526315789473684,1.9230769230768823
10,80,110.0,0.0,30.0,1.7315680960153186,0.0,0.0,0.0,0.55,0.0,1.81818181818181
11,90,150.0,66.25,0.0,3.2967245025309757,0.0,0.0,0.7875000000000358,0.6,1.2700320512821093,1.6666666666666667
12,80,150.0,0.0,36.09797237781667,1.2584740590034578,0.0,0.0,0.0,0.5317060828665471,0.0,1.8821465634036771
13,100,150.0,0.0,5.080114587983628,1.1294362249644547,0.0,0.0,0.95,0.3048068752790174,1.0526315789473684,0.8466857646639381
14,70,150.0,0.0,5.087950707717852,1.0,0.0,0.0,0.0,0.3052770424630693,0.0,0.8479917846196334
15,70,150.0,33.185185185185205,0.0,1.8665758891267235,0.0,0.0,0.8704444444444425,0.0,1.1491384432560898,0.0
16,60,150.0,34.77012524079118,0.0,2.769580079104647,0.0,0.0,0.86568962428138,0.0,1.1554951547124974,0.0
17,50,150.0,35.818861169916175,0.0,3.696439858439307,0.0,0.0,0.8625434164902516,0.0,1.159701314852605,0.0
18,30,150.0,36.476250717430155,0.0,4.638152330511685,0.0,0.0,0.8605712478477099,0.6,1.1623379039469122,1.6666666666666667
19,30,60.0,0.0,30.0,3.0017885305116514,0.0,0.0,0.0,0.55,0.0,1.8181818181818181
20,10,150.0,0.0,5.839483131356891,2.831290697254836,0.0,0.0,0.0,0.3503689878814133,0.0,0.9732471885594818
21,10,150.0,0.0,22.768019583468096,1.6358537993576165,0.0,0.0,0.0,0.5716959412495957,0.0,1.7501694631674087
22,0,150.0,36.083826590193134,0.0,2.5687094291067947,0.0,0.0,0.8617485202294225,0.6,1.1607640103884753,1.6666666666666667
23,0,30.0,36.43538718360671,0.0,3.5095009206991596,0.0,0.0,0.8606938384491802,0.0,1.1621740127684763,0.0
24,0,0.0,38.66029737588258,0.0,4.5,0.0,0.0,0.8540191078723522,0.6,1.1710974493685131,1.6666666666666667
