period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,51.27016423187045,0.0,10.999999907771828,0.0,0.0,0.6436491788406475,0.6
2,0,280.0,0.0,100.0,1.0,-9.222783070583773e-8,0.0,0.75,0.3
3,0,190.0,10.0,0.0,0.0,3.5,0.0,0.75,0.0
4,20,150.0,20.0,0.0,0.0,5.2,0.0,0.78,0.3
5,30,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
6,40,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
7,40,150.0,0.0,100.0,21.0,69.0,100.0,0.78,0.3
8,50,150.0,0.0,100.0,11.0,0.0,0.0,0.75,0.3
9,70,150.0,0.0,100.0,1.0,0.0,0.0,0.0,0.3
10,80,110.0,0.0,0.0,0.0,1.0,0.0,0.75,0.6
11,90,150.0,68.99999935148367,0.0,13.7999999589735,4.1026501307328544e-8,0.0,0.6,0.0
12,80,150.0,0.0,100.0,3.7999999589734994,0.0,0.0,0.75,0.3
13,100,150.0,29.99999994530249,0.0,11.0,0.0,0.0,0.7200000054153705,0.0
14,70,150.0,0.0,100.0,1.0,0.0,0.0,0.0,0.3
15,70,150.0,20.0,0.0,0.0,6.2,0.0,0.78,0.6
16,60,150.0,20.0,0.0,0.0,5.2,0.0,0.78,0.6
17,50,150.0,20.0,0.0,0.0,5.2,0.0,0.78,0.6
18,30,150.0,26.26602514838296,0.0,6.499999390324749,0.0,0.0,0.742403849109736,0.0
19,30,60.0,0.0,30.000002420287004,1.0,-1.0128773642037459e-7,0.0,0.78,0.5499999047893293
20,10,60.0,0.0,0.0,0.0,1.0,0.0,0.75,0.6
21,10,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.599845897007817
22,0,150.0,20.0,0.0,0.0,5.2,0.0,0.78,0.6
23,0,30.0,20.0,0.0,0.0,5.2,0.0,0.78,0.58
24,0,0.0,20.0,0.0,0.0,5.2,0.0,0.78,0.0
