period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.0
2,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.6
3,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.0
4,20,190.0,30.0,0.0,0.0,8.8,0.0,0.88,0.0
5,30,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
6,40,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
7,40,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
8,50,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.6
9,70,60.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.6
10,80,60.0,20.0,0.0,0.0,6.00001052454736,0.0,0.9000015786821041,0.6
11,90,150.0,58.630052829422546,0.0,0.0,15.688227471168988,0.0,0.8027398943411546,0.0
12,80,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.6
13,100,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
14,70,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
15,70,150.0,58.614857813198356,0.0,0.0,15.684755358406521,0.0,0.8027702843736033,0.0
16,60,150.0,58.61485781600878,0.0,0.0,15.684755359048737,0.0,0.8027702843679821,0.0
17,50,150.0,58.63517710248112,0.0,0.0,15.689398315534659,0.0,0.8027296457950377,0.0
18,30,150.0,58.59374999999672,0.0,0.0,15.679931640624243,0.0,0.8028125000000064,0.0
19,30,60.0,0.0,0.0,0.0,0.0,0.0,0.95,0.6
20,10,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
21,10,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
22,0,150.0,47.50781250000348,0.0,0.0,13.10386712646594,0.0,0.8274765625000087,0.0
23,0,30.0,58.665623648663754,0.0,0.0,15.696356268502274,0.0,0.8026688523335828,0.0
24,0,0.0,58.641638599839,0.0,0.0,15.690875074197605,0.0,0.8027167228003221,0.0
