period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,10.0,0.0,102.5,0.0,100.0,0.75,0.0
2,0,190.0,10.000000494537927,0.0,105.00000018792446,0.0,0.0,0.7500000192869791,0.3
3,0,190.0,0.0,100.0,95.00000018792446,0.0,0.0,0.75,0.3
4,20,190.0,20.0,0.0,100.20000018792467,0.0,0.0,0.78,0.0
5,30,150.0,0.0,100.0,90.20000018792467,0.0,0.0,0.75,0.3
6,40,150.0,0.0,100.0,77.89999984849277,2.3000003394319464,0.0,0.75,0.3
7,40,150.0,0.0,100.0,67.89999984849277,0.0,0.0,0.75,0.3
8,50,150.0,0.0,100.0,57.899999848492776,0.0,0.0,0.75,0.3
9,70,150.0,0.0,100.0,47.899999848492776,0.0,0.0,0.75,0.3
10,80,150.0,0.0,70.0,37.399999848492776,0.0,0.0,0.75,0.45
11,90,150.0,20.0,0.0,42.59999984849278,0.0,0.0,0.78,0.0
12,80,60.0,20.0,0.0,47.799999848492845,0.0,0.0,0.78,0.6
13,100,150.0,0.0,50.0,39.46666651515936,0.0,0.0,0.75,0.5
14,70,150.0,0.0,80.0,27.999999848492696,0.0,0.0,0.55,0.43000000000000005
15,70,150.0,20.0,0.0,33.199999848492695,0.0,0.0,0.78,0.43
16,60,150.0,20.0,0.0,32.06666697628627,6.333332872206423,0.0,0.78,0.0
17,50,150.0,20.0,0.0,37.26666697628622,0.0,0.0,0.78,0.0
18,30,150.0,20.0,0.0,42.46666697628622,0.0,0.0,0.78,0.0
19,30,110.0,0.0,80.0,31.00000030961955,0.0,0.0,0.75,0.4300000000000004
20,10,100.0,0.0,99.99999942465563,21.0,0.0,0.0,0.65,0.3000000110146202
21,10,100.0,0.0,100.0,11.0,0.0,0.0,0.75,0.3
22,0,100.0,0.0,100.0,1.0,0.0,0.0,0.75,0.3
23,0,20.0,0.0,0.0,0.0,1.0,0.0,0.75,0.6
24,0,0.0,20.0,0.0,0.0,5.2,0.0,0.78,0.0
