period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,10.0,0.0,102.5,0.0,100.0,0.75,0.6
2,0,190.0,10.0,0.0,105.0,0.0,0.0,0.75,0.6
3,0,190.0,10.0,0.0,107.5,0.0,0.0,0.75,0.0
4,20,190.0,20.0,0.0,103.93333333333334,8.766666666666667,0.0,0.78,0.6
5,30,150.0,0.0,100.0,93.93333333333334,0.0,0.0,0.75,0.3
6,40,150.0,0.0,100.0,83.93333333333334,0.0,0.0,0.78,0.3
7,40,150.0,0.0,100.0,73.93333333333334,0.0,0.0,0.75,0.3
8,50,150.0,0.0,100.0,63.93333333333333,0.0,0.0,0.75,0.3
9,70,150.0,0.0,80.0,52.46667217562063,0.0,0.0,0.78,0.42999979341437566
10,80,150.0,0.0,70.0,41.96667217562064,0.0,0.0,0.75,0.45
11,90,150.0,20.0,0.0,47.1666721756207,0.0,0.0,0.78,0.6
12,80,150.0,0.0,70.0,36.666666666666664,5.508940070342305e-6,0.0,0.75,0.45
13,100,150.0,0.0,50.0,28.333333333333332,0.0,0.0,0.75,0.5
14,70,150.0,0.0,80.0,16.866666666666667,0.0,0.0,0.75,0.4300000000000186
15,70,150.0,20.0,0.0,22.066666666666666,0.0,0.0,0.78,0.3
16,60,150.0,20.0,0.0,27.266666666666666,0.0,0.0,0.78,0.6
17,50,150.0,20.0,0.0,32.46666666666667,0.0,0.0,0.78,0.6
18,30,150.0,20.0,0.0,32.46666666666667,5.2,0.0,0.78,0.6
19,30,110.0,0.0,80.0,21.0,0.0,0.0,0.75,0.42999999999999494
20,10,100.0,0.0,100.0,11.0,0.0,0.0,0.78,0.3
21,10,100.0,0.0,100.0,1.0,0.0,0.0,0.75,0.3
22,0,20.0,20.0,0.0,6.2,0.0,0.0,0.78,0.6
23,0,0.0,20.0,0.0,0.0,11.4,0.0,0.78,0.58
24,0,0.0,20.0,0.0,0.0,5.2,0.0,0.78,0.0
