period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.0
2,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.6
3,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.0
4,20,190.0,30.0,0.0,0.0,8.8,0.0,0.8800000000000024,0.0
5,30,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
6,40,150.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
7,40,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
8,50,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
9,70,60.0,0.0,0.0,0.0,0.0,0.0,0.95,0.6
10,80,60.0,0.0,0.0,0.0,0.0,0.0,0.95,0.6
11,90,60.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
12,80,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
13,100,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
14,70,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
15,70,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
16,60,150.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.0
17,50,150.0,29.36302963135737,0.0,0.0,8.625628457533717,0.0,0.8812743677160175,0.0
18,30,150.0,58.64252808805361,0.0,0.0,15.69107787996459,0.0,0.8027149438239058,0.0
19,30,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
20,10,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
21,10,150.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
22,0,150.0,47.519529891748114,0.0,0.0,13.106542277199146,0.0,0.8274414103247556,0.0
23,0,30.0,58.632829276533414,0.0,0.0,15.688861865489503,0.0,0.8027343414469332,0.0
24,0,0.0,58.641638599839,0.0,0.0,15.690875074197605,0.0,0.8027167228003221,0.0
