period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,0.0,0.0,0.0,0.0,0.0,0.45,0.55
2,0,190.0,0.0,0.0,0.0,0.0,0.0,0.45,0.5
3,0,190.0,0.0,0.0,0.0,0.0,0.0,0.45,0.35
4,20,190.0,0.0,0.0,0.0,0.0,0.0,0.45,0.55
5,30,150.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45
6,40,150.0,0.0,1.6437491995385602,1.396466573078975,0.0,1.4595106309606998,0.45,0.11506244396769921
7,40,150.0,0.0,2.4755859374999813,1.2534681955968807,0.0,0.0,0.45,0.17329101562499868
8,50,60.0,0.0,3.2958984375000306,1.0,0.0,0.0,0.45,0.23071289062500214
9,70,60.0,0.0,0.4290137207006809,1.0,0.0,0.004294022518259943,0.45,0.030030960449047663
10,80,150.0,0.0,50.0,8.020194918024817,0.0,14.020194918024817,0.45,0.42
11,90,150.0,0.0,0.9303331246655265,8.0,0.0,0.0,0.45,0.06512331872658686
12,80,150.0,0.0,50.0,1.0,0.0,0.0,0.45,0.4199999999999999
13,100,150.0,0.0,50.0,8.107845026154891,0.0,14.107845026154886,0.45,0.4199999999999997
14,70,150.0,0.0,50.0,1.1078450261548907,0.0,0.0,0.45,0.4199999999999999
15,70,150.0,0.0,1.0749444911938528,1.0808837696159974,0.0,0.0,0.45,0.07524611438356969
16,60,150.0,0.0,1.0749444911938528,1.0539225130771042,0.0,0.0,0.45,0.07524611438356969
17,50,150.0,0.0,1.0749444911938528,1.026961256538211,0.0,0.0,0.45,0.07524611438356969
18,30,150.0,0.0,1.0749444911938475,1.0,0.0,0.0,0.45,0.07524611438356933
19,30,60.0,0.0,14.088867187500648,15.058867145068284,0.0,16.364221326993878,0.45,0.4908886718750065
20,10,150.0,0.0,50.0,8.058867145068282,0.0,0.0,0.45,0.4199999999999999
21,10,150.0,0.0,50.0,1.0588671450682825,0.0,0.0,0.45,0.4199999999999999
22,0,150.0,0.0,1.1231482800366215,1.0294335725340278,0.0,0.0,0.0,0.0786203796025635
23,0,30.0,0.0,1.123148280036629,1.0,0.0,0.0,0.45,0.07862037960256403
24,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
